# Results of applying herd to all litmus tests with "exists" conditions.
# 
# herd: 7.56+03, Rev: exported
# herd -model aarch64.cat TEST.litmus 
#
# Tests where "Always" or "Sometimes" with "exists" was observed are marked "Allow".
# Tests where "Never" with "exists" was observed are marked "Forbid".
# Tests where "Always" with "forall" was observed are marked "Allow".
# Tests where "Sometimes" or "Never" with "forall" was observed are marked "Forbid".
# 
# The tests where executed using runall-HERD7.py.
# Date: 230624-04:41

R+popl+polp-ctrl-popa Forbid
R+popl+polp-ctrl-pospa Forbid
R+popl+polp-ctrl-rfipa Forbid
R+popl+polp-data-popa Forbid
R+popl+polp-data-rfipa Forbid
R+popl+polp-fri-popa Forbid
R+popl+polp-fri-rfipa Forbid
R+popl+polp-po-ctrlpa001 Forbid
R+popl+polp-po-ctrlpa Forbid
R+popl+polp-popa001 Forbid
R+popl+polp-popa Forbid
R+popl+polp-po-popa001 Forbid
R+popl+polp-po-popa Forbid
R+popl+polp-po-pospa001 Forbid
R+popl+polp-po-pospa Forbid
R+popl+polp-po-rfipa Forbid
R+popl+polp-pos-ctrlpa Forbid
R+popl+polp-pospa Forbid
R+popl+polp-pos-popa Forbid
R+popl+polp-rfi-ctrlpa Forbid
R+popl+polp-rfipa Forbid
R+popl+polp-rfi-popa Forbid
R+popl+polp-rfi-pospa Forbid
R+popl+polp-wsi-popa Forbid
R+popl+polp-wsi-rfipa Forbid
R+popl+rfilp-addr-ctrlpa Forbid
R+popl+rfilp-addr-popa Forbid
R+popl+rfilp-addr-pospa Forbid
R+popl+rfilp-ctrlpa Forbid
R+popl+rfilp-ctrl-popa001 Forbid
R+popl+rfilp-ctrl-popa Forbid
R+popl+rfilp-ctrl-pospa Forbid
R+popl+rfilp-ctrl-rfipa Forbid
R+popl+rfilp-data-popa Forbid
R+popl+rfilp-data-rfipa Forbid
R+popl+rfilp-po-ctrlpa Forbid
R+popl+rfilp-popa Forbid
R+popl+rfilp-po-popa Forbid
R+popl+rfilp-po-pospa Forbid
R+popl+rfilp-po-rfipa Forbid
R+popl+rfilp-pos-ctrlpa Forbid
R+popl+rfilp-pos-popa Forbid
R+popl+wsilp-po-ctrlpa Forbid
R+popl+wsilp-popa Forbid
R+popl+wsilp-po-popa001 Forbid
R+popl+wsilp-po-popa Forbid
R+popl+wsilp-po-pospa Forbid
R+popl+wsilp-po-rfipa Forbid
R+popl+wsilp-rfi-ctrlpa Forbid
R+popl+wsilp-rfi-popa Forbid
R+po-po-ctrlpl+pola001 Forbid
R+po-po-ctrlpl+pola Forbid
R+po-po-ctrlpl+rfila001 Forbid
R+po-po-ctrlpl+rfila Forbid
R+po-po-datapl+pola001 Forbid
R+po-po-datapl+pola Forbid
R+po-po-datapl+rfila001 Forbid
R+po-po-datapl+rfila Forbid
R+po-po-fripl+pola001 Forbid
R+po-po-fripl+pola Forbid
R+po-po-fripl+rfila001 Forbid
R+po-po-fripl+rfila Forbid
R+po-popl+pola Forbid
R+po-popl+polp-ctrlpa Forbid
R+po-popl+polp-popa001 Forbid
R+po-popl+polp-popa Forbid
R+po-popl+polp-pospa Forbid
R+po-popl+polp-rfipa Forbid
R+po-popl+rfila Forbid
R+po-popl+rfilp-ctrlpa Forbid
R+po-popl+rfilp-popa Forbid
R+po-popl+rfilp-pospa Forbid
R+po-popl+wsilp-popa Forbid
R+po-popl+wsilp-rfipa Forbid
R+po-po-popl+pola001 Forbid
R+po-po-popl+pola002 Forbid
R+po-po-popl+pola Forbid
R+po-po-popl+rfila001 Forbid
R+po-po-popl+rfila002 Forbid
R+po-po-popl+rfila Forbid
R+po-pos-ctrlpl+pola Forbid
R+po-pos-ctrlpl+rfila Forbid
R+po-pos-datapl+pola Forbid
R+po-pos-datapl+rfila Forbid
R+po-pos-fripl+pola Forbid
R+po-pos-popl+pola Forbid
R+po-pos-popl+rfila Forbid
R+po-po-wsipl+pola Forbid
R+po-po-wsipl+rfila Forbid
R+po-rfi-ctrlpl+pola Forbid
R+po-rfi-ctrlpl+rfila Forbid
R+po-rfi-datapl+pola Forbid
R+po-rfi-datapl+rfila Forbid
R+po-rfi-popl+pola Forbid
R+po-rfi-popl+rfila Forbid
R+po-wsipl+pola Forbid
R+po-wsipl+polp-ctrlpa Forbid
R+po-wsipl+polp-popa001 Forbid
R+po-wsipl+polp-popa Forbid
